"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAB30",1072.23582693076,-1.13467938593684,0.197773042983541,-5.73728031292553,9.62089517061251e-09,1.01393545214733e-06
"CNTFR",109.52434322063,-2.3431320330271,0.409714852924929,-5.71893358588205,1.07194679863996e-08,1.12192169766621e-06
"TSPAN8",8992.7916969547,1.27282687864813,0.222910152231683,5.71004445470572,1.12946667376522e-08,1.17402645486719e-06
"TFPI2",1186.12294410632,3.06448664534511,0.537165307750011,5.70492286290998,1.16395787765299e-08,1.2016479422627e-06
"ABCA8",498.707903261194,-1.30483223173986,0.229264167542368,-5.69139192455242,1.26007902943666e-08,1.29209184802235e-06
"TNIP3",251.962775870486,2.38654452138332,0.419889209401138,5.68374816010894,1.31774281962263e-08,1.34215201547605e-06
"POU2AF1",4186.50943625469,-2.0826864614251,0.36705856654159,-5.67398952447312,1.39509666732096e-08,1.41146580155086e-06
"NPPC",129.652839560131,-3.29476288580766,0.582137776333434,-5.65976478379322,1.51580607910213e-08,1.52343530175191e-06
"C16orf89",320.371864457639,-2.47954638520651,0.438604360043355,-5.65326433362726,1.57428912617769e-08,1.57180340650478e-06
"HOXD9",158.640584339317,-1.77871971353322,0.315265889532696,-5.64196690028766,1.68118424660248e-08,1.66755896251237e-06
"LRRC25",1031.3419421599,1.45556977291053,0.259241100021405,5.6147338241905,1.96865052343753e-08,1.94001560673298e-06
"DYSF",2102.75607393341,1.7410391068025,0.310146671221306,5.61359920435894,1.98160907403418e-08,1.94018705209953e-06
"FN1",16651.0155013315,1.65087662300852,0.294722928002189,5.60145297890181,2.12562451939224e-08,2.06785113501901e-06
"HRH2",763.894699150076,1.30544688301868,0.23325579567951,5.59663214033208,2.18555755572142e-08,2.11261283220562e-06
"LILRB3",2302.50421721375,2.3707191990272,0.423764938197572,5.59442036217233,2.21360045190424e-08,2.12617724418346e-06
"SNAI1",164.891790443733,1.69425920595963,0.302937678175906,5.59276487547328,2.23481842692814e-08,2.13305688346299e-06
"GPR4",261.125963699191,1.52142413435689,0.272585290607066,5.58146087402066,2.38506712316325e-08,2.26223616632034e-06
"HSPB7",1035.44567138918,1.32599776302608,0.237870501136831,5.57445230362264,2.48309823659814e-08,2.34058998997598e-06
"SERPINE1",2900.01620459428,2.8410666178739,0.510553287559242,5.56468186005803,2.62631107738953e-08,2.46030227842367e-06
"MGP",3956.91962971392,-1.03395472611684,0.18586956436987,-5.56279738225097,2.65484076725883e-08,2.47177076588467e-06
"CD36",1644.04031198644,1.07530579460295,0.193654565649651,5.55270045400496,2.81289861233566e-08,2.59527746840328e-06
"CXCL3",1075.55651288029,2.99041946780233,0.538605214903796,5.55215468594464,2.82169730025396e-08,2.59527746840328e-06
